Label	Weight	Text
ProdInfo	1	사잇돌대출 상품안내
ProdInfo	1	대출금리
ProdInfo	1	신용대출
ProdInfo	1	대출철회권
ProdInfo	1	중신용대출
ProdInfo	1	비상금대출 대출관리
ProdInfo	1	추가대출
ProdInfo	1	신청방법
ProdInfo	1	금리인하요구권
ProdInfo	1	대출기간
ProdInfo	1	대출이자납부
ProdInfo	1	개인사업자대출
ProdInfo	1	비상금대출 대출이자납부
ProdInfo	1	상환방식
ProdInfo	1	연체/미납
ProdInfo	1	신용대출/중신용대출/사잇돌대출
ProdInfo	1	전월세보증금대출
ProdInfo	1	신용대출/중신용대출/사잇돌대출 상품안내
ProdInfo	1	대출
ProdInfo	1	사잇돌대출
ProdInfo	1	신용대출 상품안내
ProdInfo	1	마이너스통장대출
ProdInfo	1	비상금대출 신청방법
ProdInfo	1	만기연장
ProdInfo	1	중도상환/해지
ProdInfo	1	중신용대출 상품안내
ProdRecommend	1	금리가 높은 적금 추천해줘
ProdRecommend	1	금리인하 관련해서 알려줘
ProdRecommend	1	사잇돌대출 만기연장 신청하고싶어
ProdRecommend	1	26주 적금 금리 궁금해
ProdRecommend	1	한도가 높은 대출 추천해줘
ProdRecommend	1	신용대출 신청하고싶어
ProdRecommend	1	테스트 발화입니다
ProdRecommend	1	비상금대출 상환하는 법 알고싶어
ProdRecommend	1	신용대출 만기연장 신청하고싶어
ProdRecommend	1	신용대출 만기연장에 대해서 알고싶어
